"prefix","idorgNamespace","title","description","sourceType","baseUri","alternatePrefixes","licence","versionInfo"
"CRO","","Contributor Role Ontology","A classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to enable improved systems of attribution, credit, and accountability.","ONTOLOGY","","cro,CRO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:06.587+0000"
"CTENO","","Ctenophore Ontology","An anatomical and developmental ontology for ctenophores (Comb Jellies)","ONTOLOGY","","cteno,CTENO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:55.849+0000"
"DRON","","The Drug Ontology","An ontology to support comparative effectiveness researchers studying claims data.","ONTOLOGY","","dron,DRON","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:56.946+0000"
"FBcv","","Drosophila Phenotype Ontology (DPO)","An ontology for the description of Drosophila melanogaster phenotypes.","ONTOLOGY","","dpo,DPO,FBcv,fbcv,FBCV","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:03.011+0000"
"HAO","","Hymenoptera Anatomy Ontology","A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)","ONTOLOGY","","hao,HAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:18.385+0000"
"HCAO","","Human Cell Atlas Ontology","Application ontology for human cell types, anatomy and development stages for the Human Cell Atlas.","ONTOLOGY","","hcao,HCAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:29.444+0000"
"HOM","","Homology Ontology","This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology.","ONTOLOGY","","hom,HOM","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:10.122+0000"
"MMUSDV","","Mouse Developmental Stages","Life cycle stages for Mus Musculus","ONTOLOGY","","mmusdv,MMUSDV","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:28.138+0000"
"MP","","The Mammalian Phenotype Ontology","The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Project, Mouse Genome Informatics (MGI), The Jackson Laboratory, Bar Harbor, ME. This file contains pre-coordinated phenotype terms, definitions and synonyms that can be used to describe mammalian phenotypes. The ontology is represented as a directed acyclic graph (DAG). It organizes phenotype terms into major biological system headers such as nervous system and respiratory system.  This ontology is currently under development. Weekly updates are available at the Mouse Genome Informatics (MGI) ftp site (ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno) as well as the OBO Foundry site (http://obofoundry.org/). Questions, comments and suggestions are welcome, and should be directed to pheno@jax.org, Susan.Bello@jax.org or to GitHub tracker (https://github.com/obophenotype/mammalian-phenotype-ontology/issues) MGD is funded by NIH/NHGRI grant HG000330.","ONTOLOGY","","mp,MP","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:45.775+0000"
"NCBITAXON","","NCBI organismal classification","An ontology representation of the NCBI organismal taxonomy","ONTOLOGY","","ncbitaxon,NCBITAXON","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:44:18.578+0000"
"PDUMDV","","Platynereis Developmental Stages","Life cycle stages for Platynereis dumerilii","ONTOLOGY","","pdumdv,PDUMDV","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:11.146+0000"
"PECO","","Plant Experimental Conditions Ontology","A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments.","ONTOLOGY","","peco,PECO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:16.720+0000"
"PHI","","PHI-base Ontology","Pathogen-Host Interaction database Ontology used by Ensembl","ONTOLOGY","","phi,PHI","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:55.216+0000"
"PHIPO","","Pathogen Host Interactions Phenotype Ontology","Ontology of species-neutral phenotypes observed in pathogen-host interactions.","ONTOLOGY","","phipo,PHIPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:56.818+0000"
"PLANA","","planaria-ontology","planaria-ontology is an ontology for planarian anatomy and developmental stages of S.med","ONTOLOGY","","plana,PLANA","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-05-06T02:30:34.361+0000"
"PO","","Plant Ontology","The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.","ONTOLOGY","","po,PO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:32.975+0000"
"SO","","Sequence types and features ontology","A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases.","ONTOLOGY","","so,SO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:20.639+0000"
"SPD","","Spider Ontology","An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow).","ONTOLOGY","","spd,SPD","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:19.926+0000"
"SRAO","","FAIRsharing Subject Ontology (SRAO)","The FAIRsharing Subject Ontology (SRAO) is an application ontology for the categorization of research disciplines across all research domains, from the humanities to the natural sciences. It utilizes multiple external vocabularies.","ONTOLOGY","","srao,SRAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:54.775+0000"
"STATO","","STATO: the statistical methods ontology","STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including relationships to study designs and plots.","ONTOLOGY","","stato,STATO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:20.401+0000"
"SWO","","SWO (The Software Ontology)","The Software Ontology (SWO) is a resource for describing software tools, their types, tasks, versions, provenance and associated data. It contains detailed information on licensing and formats as well as software applications themselves, mainly (but not limited) to the bioinformatics community.","ONTOLOGY","","swo,SWO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:52.049+0000"
"SYMP","","Symptom Ontology","The Symptom Ontology has been developed as a standardized ontology for symptoms of human diseases.","ONTOLOGY","","symp,SYMP","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:52.250+0000"
"TAXRANK","","Taxonomic rank vocabulary","A vocabulary of taxonomic ranks (species, family, phylum, etc)","ONTOLOGY","","taxrank,TAXRANK","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:19.924+0000"
"TEDDY","","Terminology for Description of Dynamics","TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology.","ONTOLOGY","","teddy,TEDDY","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:34.042+0000"
"TGMA","","Mosquito gross anatomy ontology","A structured controlled vocabulary of the anatomy of mosquitoes.","ONTOLOGY","","tgma,TGMA","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:25.732+0000"
"UO","","Units of measurement ontology","Metrical units for use in conjunction with PATO","ONTOLOGY","","uo,UO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:20.871+0000"
"XL","","Cross-linker reagents ontology","A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.","ONTOLOGY","","xl,XL","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:45.323+0000"
"XLMOD","","HUPO-PSI cross-linking and derivatization reagents controlled vocabulary","A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.","ONTOLOGY","","xlmod,XLMOD","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:49.952+0000"
"XPO","","Xenopus Phenotype Ontology","The XPO represents phenotypes occurring throughout the development of the African frogs Xenopus laevis and tropicalis.","ONTOLOGY","","xpo,XPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:49.899+0000"
"ZECO","","Zebrafish Experimental Conditions Ontology","None","ONTOLOGY","","zeco,ZECO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:28.829+0000"
"ZFA","","Zebrafish anatomy and development ontology","A structured controlled vocabulary of the anatomy and development of the Zebrafish","ONTOLOGY","","zfa,ZFA","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:11.841+0000"
"ZFS","","Zebrafish developmental stages ontology","Developmental stages of the Zebrafish","ONTOLOGY","","zfs,ZFS","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:24.468+0000"
"ZP","","Zebrafish Phenotype Ontology","The Zebrafish Phenotype Ontology formally defines all phenotypes of the Zebrafish model organism.","ONTOLOGY","","zp,ZP","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:45.130+0000"
"DUO","","The Data Use Ontology","DUO is an ontology which represent data use conditions.","ONTOLOGY","","duo,DUO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:53.056+0000"
"ECO","","Evidence & Conclusion Ontology (ECO)","The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation, or other means.","ONTOLOGY","","eco,ECO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:03.602+0000"
"EFO","","Experimental Factor Ontology","The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combines parts of several biological ontologies, such as anatomy, disease and chemical compounds. The scope of EFO is to support the annotation, analysis and visualization of data handled by many groups at the EBI and as the core ontology for OpenTargets.org","ONTOLOGY","","efo,EFO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:32.855+0000"
"EMAP","","Mouse gross anatomy and development, timed","A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).","ONTOLOGY","","emap,EMAP","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:09.995+0000"
"EMAPA","","Mouse Developmental Anatomy Ontology","An ontology for mouse anatomy covering embryonic development and postnatal stages.","ONTOLOGY","","emapa,EMAPA","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:09.768+0000"
"ENVO","","Environment Ontology","Ontology of environmental features and habitats","ONTOLOGY","","envo,ENVO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:52.192+0000"
"EO","","Plant Environment Ontology","A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments.","ONTOLOGY","","eo,EO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:56.945+0000"
"AERO","","Adverse Event Reporting Ontology","The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry, increasing quality and accuracy of reported adverse events","ONTOLOGY","","aero,AERO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:31.013+0000"
"EPO","","Epidemiology Ontology","An ontology designed to support the semantic annotation of epidemiology resources","ONTOLOGY","","epo,EPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:03.082+0000"
"ERO","","eagle-i resource ontology","An ontology of research resources such as instruments. protocols, reagents, animal models and biospecimens.","ONTOLOGY","","ero,ERO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:09.234+0000"
"EXO","","Exposure ontology","Vocabularies for describing exposure data to inform understanding of environmental health.","ONTOLOGY","","exo,EXO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:57.557+0000"
"FAO","","Fungal gross anatomy","A structured controlled vocabulary for the anatomy of fungi.","ONTOLOGY","","fao,FAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:03.812+0000"
"FBdv","","FlyBase Developmental Ontology (FBdv)","An ontology of Drosophila melanogaster developmental stages.","ONTOLOGY","","fbdv,FBDV,FBdv","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:09.370+0000"
"GO","","Gene Ontology","The Gene Ontology (GO) provides a framework and set of concepts for describing the functions of gene products from all organisms.","ONTOLOGY","","go,GO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T16:42:43.222+0000"
"AGRO","","Agronomy Ontology","Ontology of agronomic practices, agronomic techniques, and agronomic variables used in agronomic experiments","ONTOLOGY","","agro,AGRO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:23.923+0000"
"HTN","","Hypertension Ontology For Clinical Data","An ontology for representing clinical data about hypertension, intended to support classification of patients according to various diagnostic guidelines","ONTOLOGY","","htn,HTN","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:20.396+0000"
"AMPHX","","Amphioxus Development and Anatomy Ontology (AMPHX)","An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).","ONTOLOGY","","amphx,AMPHX","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:06.819+0000"
"IAO","","Information Artifact Ontology","An ontology of information entities.","ONTOLOGY","","iao,IAO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:51.022+0000"
"APO","","Ascomycete phenotype ontology","A structured controlled vocabulary for the phenotypes of Ascomycete fungi","ONTOLOGY","","apo,APO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:03.791+0000"
"ICEO","","ICEO: Ontology of Integrative and Conjugative Elements","A biological ontology to standardize and integrate Integrative and Conjugative Element (ICE) information and to support computer-assisted reasoning.","ONTOLOGY","","iceo,ICEO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:54.562+0000"
"CHEMINF","","chemical information ontology (cheminf) - information entities about chemical entities","Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.","ONTOLOGY","","cheminf,CHEMINF","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:34:46.797+0000"
"ICO","","Informed Consent Ontology","The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.","ONTOLOGY","","ico,ICO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:56.800+0000"
"MOD","","Protein modification","PSI-MOD is an ontology consisting of terms that describe protein chemical modifications","ONTOLOGY","","mod,MOD","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:45.671+0000"
"CIO","","Confidence Information Ontology","An ontology to capture confidence information about annotations.","ONTOLOGY","","cio,CIO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:28.638+0000"
"MPATH","","Mouse pathology ontology","A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes","ONTOLOGY","","mpath,MPATH","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:37:46.668+0000"
"CL","","Cell Ontology","The Cell Ontology is a structured controlled vocabulary for cell types in animals.","ONTOLOGY","","cl,CL","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:35.331+0000"
"MPIO","","Minimum PDDI Information Ontology","An ontology of minimum information regarding potential drug-drug interaction information.","ONTOLOGY","","mpio,MPIO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:22.267+0000"
"MRO","","MHC Restriction Ontology","The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions.","ONTOLOGY","","mro,MRO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:28.947+0000"
"CMO","","Clinical measurement ontology","Morphological and physiological measurement records generated from clinical and model organism research and health programs.","ONTOLOGY","","cmo,CMO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:39:56.493+0000"
"MS","","Mass spectrometry ontology","A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.","ONTOLOGY","","ms,MS","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:58.903+0000"
"CMPO","","Cellular Microscopy Phenotype Ontology","CMPO is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations.","ONTOLOGY","","cmpo,CMPO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:35.100+0000"
"NCIT","","NCI Thesaurus OBO Edition","The NCIt OBO Edition project aims to increase integration of the NCIt with OBO Library ontologies. NCIt is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. NCIt OBO Edition releases should be considered experimental.","ONTOLOGY","","ncit,NCIT,NCI_Thesaurus,nci_thesaurus,NCI_THESAURUS,NCI,nci,ncithesaurus,NCITHESAURUS,NCI2009_04D,nci2009_04d","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:41:35.643+0000"
"OMRSE","","Ontology of Medically Related Social Entities","This ontology covers the domain of social entities that are related to health care, such as demographic information and the roles of various individuals and organizations.","ONTOLOGY","","omrse,OMRSE","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:52.145+0000"
"CO_320","","Rice ontology","Rice Trait Dictionary in template v 5.0 - IRRI - March 2016 - Based on SES, RD, UPOV variables and on variables used by CIAT, FLAR and the GRISP Phenotyping Network variables","ONTOLOGY","","co_320,CO_320","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:53.918+0000"
"ONTONEO","","Obstetric and Neonatal Ontology","The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and of her baby.","ONTOLOGY","","ontoneo,ONTONEO","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:56.799+0000"
"CO_321","","Wheat ontology","July 2018","ONTOLOGY","","co_321,CO_321","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:41.713+0000"
"OOSTT","","Ontology of Organizational Structures of Trauma centers and Trauma Systems","An ontology built for representating the organizational components of trauma centers and trauma systems.","ONTOLOGY","","oostt,OOSTT","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:39.678+0000"
"CO_321:ROOT","","Wheat ontology","T3 Wheat traits","ONTOLOGY","","co_321:root,CO_321:ROOT","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:40:01.114+0000"
"OPL","","Ontology for Parasite Lifecycle","The Ontology for Parasite Lifecycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stages, the ontology also models necessary contextual details, such as host information, vector information, and anatomical location. OPL is based on the Basic Formal Ontology (BFO) and follows the rules set by the OBO Foundry consortium.","ONTOLOGY","","opl,OPL","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:11.416+0000"
"CO_322","","Maize ontology","Maize Trait Dictionary in template 5 - CIMMYT- September 2016","ONTOLOGY","","co_322,CO_322","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:53.716+0000"
"CO_324","","Sorghum ontology","Sorghum TDv5 - Oct 2019","ONTOLOGY","","co_324,CO_324","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:38:58.175+0000"
"CO_334","","Cassava ontology","Cassava Trait Dictionary in template 5 - IITA - July 2015, updated in February 2016","ONTOLOGY","","co_334,CO_334","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:35:41.041+0000"
"CO_335","","Common Bean ontology","CIAT Common bean trait dictionary - version August 2014","ONTOLOGY","","co_335,CO_335","https://creativecommons.org/licenses/by/4.0/","Last updated in the ontology lookup service on 2020-04-27T14:36:05.813+0000"
